topic,ChatGPT_result,Claude_result,reconciled_verdict,governance_action
Owner event point-in-time replay,2 of 3 events lack knowledge_at; decision replay blocked.,3 of 3 owner events quarantined.,AGREEMENT_BLOCKED,Quarantine until reconstructable event and publication ledger exists.
TDBC bar authority,Bar-start daily panel creates 37.66% phase divergence and median 60-day premature transition.,Bar-end is the only settlement-honest timestamp; bar-start changes headline outcome.,AGREEMENT_METHOD_REPAIR,Ratify bar-end / knowledge-available authority.
TDBC anchor sensitivity,No canonical anchor conclusion.,Jan-Feb and Feb-Mar are stable across tested parameter surface.,ANCHOR_WARNING_WITHDRAWN_WITHIN_TESTED_SURFACE,Do not call anchor fragility a blocker; keep small-N and timing blockers.
TDBC predictive edge,Point-in-time contamination blocks canonical replay.,"Parameter-stable, sample-fragile; timing shift fails; no ETF-era event.",SPECIFICATION_STABLE_CAUSALITY_AND_TIMING_UNRESOLVED,"Keep as descriptive research layer, no independent signal promotion."
BTC confirmation lock,Proxy confirmation underperformed immediate rebuy; delay-5 challenger CI crossed zero.,Three-higher-close proxy underperformed buy-and-hold.,CONFIRMATION_COST_CONCERN_REPLICATED_DIRECTIONALLY_NOT_POLICY_REPLICATED,No rule change. Rerun actual policy on frozen owner events and non-overlap clusters.
Alt confirmation lock,Not established.,Weak downside-adjusted benefit.,REJECT_CURRENT_ALT_CONCLUSION,Rebuild basket with prior-day membership and tier-specific owner universe.
ETH/BTC rotation,"H7 alone negative; direct settled 0.0300 crossing promising, small n.",PCA/Ridge suggest no general rotation edge.,NO_CONTRADICTION_DIFFERENT_ESTIMANDS_CLAUDE_MODELS_NOT_CLEAN,Keep H7 early-only and direct 0.0300 challenger; run beta-neutral rotation portfolio test.
ETF flow,Timing and publication lag are essential; no predictive promotion.,Mostly lags price with small incremental in-sample R2.,DESCRIPTIVE_CONFIRMATION_CHALLENGER,Retain sensor reduce predictive narrative and run purged lagged OOS test.
Sensor independence,23 sensors compress to 8.9 diagnostic dimensions; no linear OOS edge.,34 sensors compress to 7.0 dimensions.,AGREEMENT_REDUNDANCY,Report cluster-aware evidence count; no decimal effective-N promotion yet.
Drawdown hazard,Not previously tested.,Depth x underwater age appears highly informative.,PROMISING_BUT_PSEUDOREPLICATED,Build episode-level landmark survival model before policy use.
