doctrine_id,doctrine,evidence_for,evidence_against,n,regime_coverage,status,confidence,missing_data,governance_implication,notes
D01,Early warnings tilfoerer vaerdi,"M1 lead 23.5d, 4/4 storme, IR 7.9",FA-cost; naiv trim REJECT,9 events/4 storme,single,SUPPORTED_SINGLE_REGIME,med,BTC.D,behold urgency-lag,
D02,Bekraeftelse foelger urgency,D 0 FA; arbejdsdeling raekkebekraeftet,"D koincident, ej prognose (16y)",9+4921d,cross,SUPPORTED,hoej,-,TRIAD staar,
D03,ETH/BTC-gates = repair-signal,8/8-hold aktuelt; kanonisk brug,81% FP standalone; gate-drift 40-112%,16 kryds,single+drift-kvant,PARTIALLY,med,fler-cyklus ratio,percentil-skygge,
D04,Persistens bekraefter rotation,FF-filter,P(14|3)=4/9; 27d-SB; exit-blind,16,single,PARTIALLY,med,-,"minimum, ikke bekraeftelse",
D05,Prisstruktur for sen,M1 7d vs 23.5d; 16y koincidens,ren (0 FA),9+4921d,cross,SUPPORTED,hoej,-,D=veto-rolle laast,
D06,ETF-flow forbedrer lead,M1 + pre-peak 3-10d,A3-FA; revisionsrisiko,4 storme,single,SUPPORTED_SINGLE_REGIME,med,2024-inflow-aera-test,PRINT_PROVISIONAL-felt,
D07,Range-forecasting tilfoerer skill,flush-uger (n=3),"M5: 5/14, median-gab 2.3x",14,single,NOT_SUPPORTED,hoej,forward-raekker,FRLP baseline-first staar,
D08,Human adjustment tilfoerer skill,-,-,0,-,UNTESTED,-,FRL-raekker,alpha-ledger fra CN15,
D09,Staged altseason-timing nyttig,staged sprog disciplinerer,3 ben udefinerede; leverede fase-labels 0 fwd-vaerdi (n=1213),1213d labels,2023-26,UNTESTED+DATA_MISSING,lav,breadth/deploy/BTC.D,operationalisér eller arkivér ben,
D10,Pullback weather stoetter 5-7d-forberedelse,lead ja,trim-oversaettelse REJECT,9,single,PARTIALLY_SINGLE_REGIME,med,-,forberedelse!=handling,
D11,Framework beskytter bedre end naiv hold,2023-26: DD 37 vs 53 for -23% afkast,"2013-26: -77% afkast, 0pp DD (91/91)",13.5 aar,CROSS (attack),SINGLE_REGIME_ONLY,hoej,-,forsvar genvalideres pr. cyklus,
D12,Kompleksitet tilfoerer vaerdi,governance-lag ja,A+C+D=A+C; 3 udefinerede gatekeepere,-,-,PARTIALLY->NOT,med,-,prune-mandat,
D13,Master Monday forbedrer beslutninger,struktur/kontinuitet,ingen kontrafaktisk maaling,0,-,UNTESTED,-,beslutningsledger,maal via §12-redesign,
D14,CN har aegte praediktiv vaerdi,fase/struktur-kald gentagne traef,ranges NOT_SUPPORTED; selvscore-kompression,14+kvalitativ,single,SPLIT,med,-,to separate scorelinjer,
D15,Shadow-laering forbedrer output,guardrails virkede (5/7-fejl),promotion-loop utestet,-,-,PARTIALLY,med,-,promotion-regler i §10,
D16,Automation-stak oeger paalidelighed,selvhelende v2; MANUAL_BACKFILL,"5 jobs, overlap, sched-drift 20:30/21:00",5 jobs,-,PARTIALLY,med,-,5->3 migration,
