row_id,status,source_type,cn_issue,approx_publish_date,week_id,week_start,week_end,btc_forecast_low,btc_forecast_high,eth_forecast_low,eth_forecast_high,displayed_score,cycle_phase,regime_label,rotation_status,actual_btc_low,actual_btc_high,actual_eth_low,actual_eth_high,actual_source,actual_run_id,confidence,source_conflict,missing_fields,notes
CN_DRAFT_001,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,Week 1 / CN #1,2026-03-30,DATA_MISSING,DATA_MISSING,DATA_MISSING,63000,71000,DATA_MISSING,DATA_MISSING,88%,DATA_MISSING,Market Inflection / Altcoin Pre-Rotation,BTC to ETH developing,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,MED,NONE,"exact issue number; exact week; ETH forecast; actuals; source path","Memory says Week 1 range 63-71K and score list includes 88%."
CN_DRAFT_002,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #2,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,65000,72000,DATA_MISSING,DATA_MISSING,88%,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,LOW-MED,NONE,"publish date; exact week; ETH forecast; phase; rotation; actuals; source path","Memory says Week 2 range 65-72K."
CN_DRAFT_003,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #3,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,66000,73000,DATA_MISSING,DATA_MISSING,83%,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,LOW-MED,NONE,"publish date; exact week; ETH forecast; phase; rotation; actuals; source path","Memory says Week 3 range 66-73K."
CN_DRAFT_004,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #4,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,73000,79000,DATA_MISSING,DATA_MISSING,86%,Altcoin Pre-Rotation,DATA_MISSING,No confirmed rotation / BTC dominance,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,LOW-MED,NONE,"publish date; exact week; ETH forecast; actuals; source path","Memory says #4 range 73-79K and Pre-Rotation."
CN_DRAFT_005,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #5,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,76500,83500,DATA_MISSING,DATA_MISSING,85%,Altcoin Pre-Rotation,DATA_MISSING,No confirmed rotation / BTC dominance,75400,80300,DATA_MISSING,DATA_MISSING,MEMORY_ACTUAL,DATA_MISSING,MED,NONE,"publish date; exact week; ETH forecast; ETH actual; source path; run id","Memory says #5 range 76.5-83.5K with actual 75.4-80.3K."
CN_DRAFT_006,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #6,2026-05-04,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,Market Early Bull Attempt -> Early Bull,BTC-led early bull attempt,BTC dominance / no confirmed rotation,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,LOW,NONE,"BTC forecast; ETH forecast; score; exact week; actuals; source path","Memory says #6 shifted toward Early Bull BTC-led."
CN_DRAFT_007,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #7,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,79000,83500,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,BTC-led,No confirmed rotation,78500,82500,DATA_MISSING,DATA_MISSING,MEMORY_ACTUAL,DATA_MISSING,LOW-MED,NONE,"publish date; exact week; ETH forecast; ETH actual; score; source path","Memory says #7 BTC forecast 79-83.5K vs actual 78.5-82.5K; ETH tracking starts in #7."
CN_DRAFT_008,DRAFT_MEMORY_SEED_NOT_FOR_SCORING,CYCLE_NAVIGATOR_MEMORY,CN #8,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,LOW,NONE,"all forecast fields; actuals; source path","Memory says ETH public scoring starts in #8."
ACTUAL_W22,DRAFT_ACTUAL_MEMORY_SEED,VERIFIED_WEEKLY_ACTUAL_MEMORY,DATA_MISSING,DATA_MISSING,2026-W22,2026-05-25,2026-05-31,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,72785.65,77664.65,1974.80,2134.24,VERIFIED_MEMORY,DATA_MISSING,MED-HIGH,NONE,"forecast match; source path; run id","Verified actual candidate for week 22."
ACTUAL_W23,DRAFT_ACTUAL_MEMORY_SEED,USER_VERIFIED_WEEKLY_ACTUAL_MEMORY,DATA_MISSING,DATA_MISSING,2026-W23,2026-06-01,2026-06-07,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,59353.42,73797.23,1522.58,2012.52,USER_VERIFIED_CG_MEMORY,WEEKLY_RANGE_2026_23_20260607_2359,MED-HIGH,W23_ACTUALS_SOURCE_RECONCILIATION_REQUIRED,"forecast match; source file","Memory conflict: another extraction surfaced BTC high 73876.61."
ACTUAL_W24,DRAFT_ACTUAL_MEMORY_SEED,USER_VERIFIED_WEEKLY_ACTUAL_MEMORY,DATA_MISSING,DATA_MISSING,2026-W24,2026-06-08,2026-06-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,60756.69,65248.23,1613.83,1716.82,USER_VERIFIED_CG_YAHOO_MEMORY,WEEKLY_RANGE_2026_24_20260614_2155,MED-HIGH,NONE,"forecast match; source file","Final user-verified week 24 actuals."
ACTUAL_W25,DRAFT_ACTUAL_MEMORY_SEED,USER_VERIFIED_WEEKLY_ACTUAL_MEMORY,DATA_MISSING,DATA_MISSING,2026-W25,2026-06-15,2026-06-21,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,62201.14,67248.13,1670.10,1847.77,USER_VERIFIED_YAHOO_MEMORY,WEEKLY_RANGE_2026_25_20260622_0845,MED-HIGH,NONE,"forecast match; source file","Final corrected Yahoo Finance week 25 actuals."
