gap_id,domain,required_for,status,blocking_level,resolution_requirement,prohibited_shortcut
DG-001,Exact Forecast Ledger canonical path and join schema,MAR-WP06/MAR-WP09,UNRESOLVED,BLOCKING,"bind forecast_id; knowledge_time; horizon; target; outcome; baseline version","hindsight reconstruction"
DG-002,Shadow Sentinel canonical feature registry,MAR-WP05/MAR-WP07,UNRESOLVED,NON_BLOCKING_EARLY,"locate versioned manifest and availability timestamps","copying current shadow state into history"
DG-003,Research Lab package/null-result index,all tracks,UNRESOLVED,NON_BLOCKING_EARLY,"locate durable package index and identify prior tested claims","selective inclusion of positive research"
DG-004,ETF point-in-time complete history and revision policy,MAR-WP08,PARTIAL,BLOCKING_FOR_WP08,"bind canonical files; publication timestamps; missing-session policy; source hashes","current table treated as historical vintage"
DG-005,CME positioning and basis history,MAR-WP08,UNRESOLVED,BLOCKING_FOR_CANDIDATE,"identify source owner; release calendar; revisions; symbol continuity","backfilled release values at period date"
DG-006,Options surface/history,MAR-WP08,UNRESOLVED,BLOCKING_FOR_CANDIDATE,"freeze venue; tenor; delta; timestamp; expiry-roll methodology","mixing venues or end-of-day snapshots without provenance"
DG-007,Stablecoin issuance/redemption history,MAR-WP02/MAR-WP04/MAR-WP08,UNRESOLVED,BLOCKING_FOR_CANDIDATE,"bind source series and chain/issuer coverage with knowledge timestamps","total-supply forward fill across outages"
DG-008,Exchange reserve and venue-fragmentation history,MAR-WP04/MAR-WP08,UNRESOLVED,BLOCKING_FOR_CANDIDATE,"bind owner; exchange mappings; methodology-break flags","splicing incompatible vendor methodologies"
DG-009,DeFi/bridge historical liquidity,MAR-WP02/MAR-WP04,UNRESOLVED,NON_BLOCKING_CORE,"bind source and protocol survivorship policy","today's protocol universe applied historically"
DG-010,Event-label definitions for failed moves,MAR-WP03,NOT_FROZEN,BLOCKING,"freeze threshold; acceptance window; rejection window; outcome horizons before outcome inspection","optimizing labels after viewing returns"
DG-011,Regime taxonomy crosswalk,MAR-WP05/MAR-WP07,NOT_FROZEN,BLOCKING,"map Cycle Navigator versions to immutable coarse taxonomy and uncertainty state","retroactive regime renaming"
DG-012,Final holdout boundary,all economic tests,DECLARED_NOT_MATERIALIZED,BLOCKING_BEFORE_TEST,"create sealed manifest and access receipt before development analysis","peeking or summary-stat inspection"
DG-013,Source publication-lag calendar,all external series,PARTIAL,BLOCKING_PER_SERIES,"reuse Global Liquidity calendar and extend only missing sources","indexing observations by economic period instead of known-at time"
DG-014,Historical constituent/membership records,breadth and cross-sectional tracks,PARTIAL,BLOCKING_PER_TEST,"bind DATA PING membership hashes and survivorship-safe owner tables","current universe backcast"
DG-015,Independent replication environment,MAR-WP10,NOT_CREATED,BLOCKING_FINAL,"isolated manifest; immutable input hashes; no shared mutable cache","same-agent rerun called independent replication"
