sensor_id,sensor_name,family,source,direct_or_derived,latency,revision_risk,independence,redundancy,row_evidence,regime_dependence,false_positive_mode,false_negative_mode,recommended_role,verdict,confidence,data_quality,notes,audit_v1_verdict,audit_v1_role,audit_v1_rationale
S01,A1 ETF-5d-net<-500,A,Farside,direct,1d(+prov.risiko),MED(+143->-84.9),hoej vs pris,lav,M1: lead-bidrag,single-regime,sjaelden,lag v. smaa outflows,URGENCY,KEEP(urgency-only),med,FULL,,RETAIN_ROLE_LIMITED,URGENCY_ONLY,"A1 retains early urgency value, but evidence remains one-cycle and does not justify execution authority."
S02,A2 outflow-streak>=3,A,Farside,direct,1d,MED,hoej,lav,M1: lav FA; i begge best-combos,single-regime,faa,streak-brud v. enkeltprint,URGENCY,KEEP(urgency-only),med,FULL,,EXPAND_FORWARD_ROWS,URGENCY_ONLY,"A2 is the cleanest A-family candidate: low false-alarm burden and strong lead. Expand forward logging, not authority."
S03,A3 print<mu-1sigma,A,Farside,direct,1d,MED,hoej,lav,M1: 5/7 af ALLE FA,regime-blind i rallies,rally-FA-klynger,-,URGENCY(karantaene),ONLY_WORKS_IN_REGIME_X,hoej,FULL,prune-beslutning kraever forward rows,DEMOTE_QUARANTINE,ZERO_EXEC_WEIGHT,Removing A3 improved historical trim edge by 24.4pp and lowered FAR while sacrificing 2/9 wave recall. High signal density did not beat frequency-matched timing placebo.
S04,C1 ratio-tab/quick-loss,C,afledt ratio,derived,0d,lav,middel,deler ratio m. gates,M1: PW10-fangst; 4 fires hoej vaerdi,single-regime,faa,sjaelden fire,WARNING,KEEP,med,FULL,,RETAIN_NEEDS_ROWS,WARNING,C1 has only one high-value observation. Keep definition and log forward; sample is too small for expansion.
S05,C2 ratio-5d<=-3%,C,afledt ratio,derived,0d,lav,middel,ratio-familie,M1: billigste enkeltregel +18.5%,single-regime,2 FA apr-26,1 storm-miss,WARNING,KEEP,med,FULL,,EXPAND_FORWARD_ROWS,LEAN_WARNING,C/C2 is the strongest timing result. C-family event alignment beat frequency-matched random dates across 14-45d windows; C2 is the main contributor.
S06,Fixed gates 0.0265/75/0300,C/rotation,ratio,derived,0d,lav,middel,ratio-familie,M4: 81% FP standalone; ATTACK: gate=40% af 2023-niveau vs 112% af 2025,CYKLUSBUNDET (kvantificeret),pokes fra hoej base,gate irrelevant naeste cyklus,WARNING(repair-markoer),KEEP denne cyklus + REPLACE-kandidat (percentil),hoej,FULL,percentil-skygge fra dag et,RETAIN_ROLE_LIMITED,REPAIR_MARKER_ONLY,Fixed ETH/BTC gates remain cycle-bound and high-FP standalone. Keep repair-marker role and percentile challenger only.
S07,D1 ATR-ekspansion,D,OHLC,derived,0d,lav,lav(pris),pris-familie,M1: sjaelden; i best-combos,ukendt,faa,lagger flush-start,CONFIRMATION,NEEDS_MORE_ROWS,lav,FULL,,RETAIN_NEEDS_ROWS,CONFIRMATION,D1 is rare and underpowered. Do not count it as an independent predictive vote.
S08,D2 close<EMA50+swingDOWN,D,OHLC,derived,0d(bekraeftelse 5d med),lav,lav,pris-familie x6,M1: 0 FA; ATTACK 16y: P(7d<=-8%)=18% ALLE regimer n=4921,koincident overalt,-,sen (median 5d lag),CONFIRMATION/VETO,"KEEP (veto, ALDRIG prognose)",hoej,FULL,cross-regime bekraeftet ikke-praediktiv,RETAIN_CORE_ROLE,CONFIRMATION_VETO,"Cross-regime evidence supports confirmation/veto, not prediction."
S09,D3 20d-range-brud,D,OHLC,derived,0d,lav,lav,pris-familie,"M1: 0 FA, trim-flad",ukendt,-,sen,CONFIRMATION,KEEP(confirmation-only),med,FULL,,RETAIN_CORE_ROLE,CONFIRMATION_ONLY,"D3 is clean but late: median 0.5d to C5 and 4d to C12, with no false-alarm dates."
S10,EMA50-kontekst,context,OHLC,derived,0d,lav,lav,=D2-ben,M1 CE-2: FA 7/22 over vs 0/19 under; M4: 11/11 kryds<EMA50 doede,single-regime,mekanisk delvist,-,CONTEXT,SHADOW_ONLY,med,FULL,,MERGE_CONTEXT,PRICE_CONTEXT,"EMA50 context overlaps D2/price structure; retain as context, not a separate vote."
S11,ATR14 Wilder,infra,OHLC,derived,0d,lav,-,-,baseline-infrastruktur,robust,-,-,CONTEXT/infra,KEEP,hoej,FULL,B4-frosset,RETAIN_INFRA,INFRASTRUCTURE,"ATR14 is baseline infrastructure, not edge."
S12,Prisstruktur/swing m=2.0,D,OHLC,derived,median 5d lag,lav,lav,=D2,M4-maskineri attesteret,taerskel-sensitiv (m=1.5 katastrofal),regimebrud-fejl (5/2-UP),lag,CONFIRMATION,KEEP m. m-audit-pligt,med,FULL,,RETAIN_CORE_ROLE,PRICE_CONFIRMATION,Keep price structure with parameter audit. It remains confirmation and exit-side protection.
S13,BTC.D,rotation,ingen kilde,-,-,-,-,-,ingen raekker,-,denominator-forvraengning,-,WARNING(fake-detektor),NEEDS_MORE_ROWS(DATA_MISSING),-,DATA_MISSING,dual-konvention paakraevet,ZERO_WARNING_WEIGHT_RETAIN_SHADOW,ROTATION_SURVIVAL_CONTEXT,BTC.D B1 failed early-warning and trim roles. Add-one OOS tests show no incremental value; retain only survival/reclaim context.
S14,Breadth,rotation,UDEFINERET,-,-,-,-,-,ingen,-,-,-,GATEKEEPER,NEEDS_MORE_ROWS + DEFINITIONSPLIGT,-,DATA_MISSING,ikke-falsificerbar gatekeeper (W1),EXPAND_DATA_PRIORITY,GATEKEEPER_PENDING_DATA,Frozen-universe altcoin breadth is the highest-value missing independent axis. No live authority until production-grade rows exist.
S15,Stablecoin deployment,liquidity,UDEFINERET,-,-,-,-,-,ingen,-,-,-,GATEKEEPER,NEEDS_MORE_ROWS + DEFINITIONSPLIGT,-,DATA_MISSING,W2,RETAIN_CONTEXT_COMPRESS,LIQUIDITY_AND_ACTIVITY_CONTEXT,Supply is independent and useful as availability context. DEX change and DEX/supply ratio are nearly identical (rho≈0.998); do not count both as votes.
S16,Funding/OI/Liq,stress,ingen serie,-,-,MED,-,-,ingen,-,-,-,CONTEXT/stress,NEEDS_MORE_ROWS,-,DATA_MISSING,,DATA_BLOCKED,STRESS_CONTEXT,No full historical series. Zero evidence weight until source-backed rows exist.
S17,CFGI,sentiment,ingen serie,-,-,lav,-,-,ingen,-,ekstrem-fear persisterer i fald,-,CONTEXT,NEEDS_MORE_ROWS,-,DATA_MISSING,,DATA_BLOCKED,SENTIMENT_CONTEXT,No calibrated series. Keep context-only and do not infer missing values.
