artifact,severity,defect,effect,disposition
Claude Wave1 Mission A,BLOCKING_FOR_GOVERNANCE,87 nominal 90-day events collapse to 16 connected overlap clusters; 81.6% overlap the previous event window.,Summary treats highly dependent observations as if they were independent.,RESEARCH_CHALLENGER_ONLY
Claude Wave1 Mission A,MATERIAL,cluster_id is assigned by event index i//4 rather than actual interval overlap and is not used in the reported summary.,The claim that overlapping horizons were controlled is not supported by the implementation.,REBUILD_WITH_INTERVAL_CLUSTERS
Claude Wave1 Mission A,MATERIAL,"avoided_loss is coded as buy_hold_drawdown minus policy_drawdown, giving the opposite sign when the policy improves drawdown.",The avoided-loss interpretation is unreliable.,CORRECT_METRIC_AND_RERUN
Claude Wave1 Mission A ALT,BLOCKING_FOR_ALT_CONCLUSION,Top-50 alt basket membership uses same-day quote volume while scoring same-day returns.,Contemporaneous membership selection is not a tradable prior-known universe and may select event-driven winners.,REJECT_ALT_POLICY_CONCLUSION
Claude Wave1 Mission C,LIMITATION,"1,080 specifications reduce to 277 unique signal-date sets, 134 unique outcome sets and 56 unique medians.","The 99.9% figure measures correlated parameter sign stability, not 1,080 independent confirmations.",ACCEPT_PARAMETER_STABILITY_ONLY
Claude Wave1 Mission C,MATERIAL,Two of four source-pair variants failed and no holdout was enforced; there are zero ETF-era events.,Source robustness temporal robustness and modern-regime validity remain unresolved.,NO_PROMOTION
Claude own R1 halving,BLOCKING,For the unmatured 2026-07-24 flip pandas Series.asof silently substitutes the last earlier non-null 6-month outcome.,The reported sixth event is a stale historical target not a realized 2027 outcome.,REJECT_NUMERICAL_RESULT
Claude own R1 halving,BLOCKING,"Halving-bin expectations are estimated from the full sample using overlapping future 6-month returns, without cross-fitting.",The exact 59% clock-explained estimate and 88th-percentile residual are in-sample and target-contaminated.,RERUN_LEAVE_ONE_CYCLE_OUT
Claude own R3 PCA,MATERIAL,Yearly complete-case membership is selected using full-year data; 2022 degenerates to PC1=100%.,The claim that rotation does not exist as a factor is too strong.,REBUILD_BETA_NEUTRAL_ROTATION_TEST
Claude own R4 regimes,BLOCKING_FOR_POLICY,"Implementation is GaussianMixture, not a Hidden Markov Model, fitted on the full sample; six-month labels overlap daily.",It cannot establish that confirmation is a tax or that a live regime policy is contrarian.,REJECT_POLICY_CONCLUSION
Claude own R5 hazard,MATERIAL,Daily rows are counted as n although they are repeated observations from very few underwater episodes.,The headline n=128 and n=38 collapse to 6 and 4 episode entries.,PROMISING_CHALLENGER_REQUIRES_SURVIVAL_MODEL
Claude own R7 walk-forward,BLOCKING,No 20-day purge/embargo: the last training labels use prices from the following test block.,The 480 observations are not clean out-of-sample evidence.,REJECT_EXACT_METRICS_AND_RERUN_PURGED
