item_id,proposal,source,evidence_status,recommended_action,authority,implementation_order,risk,external_research_needed,notes
G01,5->3 automation-migration,§6,SOURCE+ROW,RATIFY,ChatGPT,1,lav,nej,dobbeltkoersel 1 uge
G02,PRINT_PROVISIONAL-felt i DATA PING,N5,SOURCE_SUPPORTED,RATIFY,ChatGPT,2,ingen,nej,een kolonne
G03,CN15 freeze+publicering,CN15-pakke,KLAR,EXECUTE,Morten+ChatGPT,3,lav,nej,12-punkts checkliste
G04,Skyggelogs: percentil-gates+E-lag+challenger-kolonne,N4/N7/S3,NEEDS_FORWARD_ROWS,FORWARD_TEST,ChatGPT,4,lav,nej,zero vaegt
G05,B3-revisit efter 8 FRL-raekker,N2,ROW(cross-regime),FORWARD_TEST->beslut,ChatGPT,5,med,nej,1.5 forbliver anker indtil
G06,Regime-labels som forward-risiko,N3,ROW(16y),REJECT,ChatGPT,-,-,nej,kun tilstandsbeskrivelse
G07,Execute-window-semantik i RotEngine,N6,SOURCE,REJECT/omdoeb,ChatGPT,2,lav,nej,MAX_ATTENTION
G08,Alt-phase-labels som praediktorer,attack-calc,ROW n=1213,REJECT (pending E10),ChatGPT,-,-,maaske,definitions-audit foerst
G09,Insurance-omformulering (cyklus-egenskab),N1,ROW cross-regime,ARCHIVE as CANONICAL LEARNING,ChatGPT,2,-,nej,samme klasse som cn_calibration
G10,Breadth/deployment/velocity: definér eller arkivér,W1/W2/N8,STRUCTURAL,EXTERNAL_RESEARCH,ChatGPT+Morten,6,med,JA,ikke-falsificerbare gatekeepere er gaeld
G11,MM-redesign-layout,§12,DESIGN,RATIFY (layout),ChatGPT,3,lav,nej,ingen skill-paastand
G12,Exit-ladder E0-E7,§11,DESIGN,FORWARD_TEST (skygge),ChatGPT,4,med,nej,kun E-state-logning
G13,FRLP-bindinger/track-record-laas/verified-actuals/kill-kataloger/MANUAL_BACKFILL,kanon,ROW+SOURCE,DO_NOT_TOUCH,-,-,-,nej,
G14,"M3/FULL-M1-data (decision ledger, tabsfunktion, BTC.D)",E02/E06,BLOCKED,DELIVER_DATA,Morten,6,-,delvist,laaser to missioner op
