decision_id,issued_timestamp,effective_horizon,source_type,source_file_or_thread,source_reference,exact_source_excerpt,market_state,urgency_state,warning_state,confirmation_state,pullback_state,rotation_state,rebuy_state,deployment_state,action_label,portfolio_language_used,btc_range_if_present,eth_range_if_present,invalidators,confidence,data_quality,retrospective_or_live,eligible_for_M3,duplicate_hash,notes
D20260421_ARCH_ROLE_001,2026-04-21T00:00:00Z,GOVERNANCE,ARCHIVE_ADDENDUM,framework_archive_addendum_2026-04-21.pdf,Section 3-5,"Data Ping = raw, source-bound, machine-readable state capture.",,,,,,,,,TRUTH_LAYER_ONLY,NO,,,,HIGH,SOURCE_BACKED,LIVE_GOVERNANCE,NO,37e25df7cac64106c154,Architecture/governance row; not a market call.
D202605_FNP001,2026-05-07T23:59:59Z,FROZEN_EVENT_WINDOW,FNP_LEDGER,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,D2 FNP ledger / FNP-001,Optimal BTC trim-zone: 80-82K; Optimal window: 4-7 May 2026; Framework trim: none.,,,MATERIAL_CONTRADICTION,CANONICAL_WITH_ESTIMATED_FIELDS,,,,,NO_FRAMEWORK_TRIM_RECORDED,YES_SOURCE_QUOTE,80000-82000,,,MEDIUM,PARTIAL_ESTIMATED_FIELDS,RETROSPECTIVE,NO,122a6df4c32aad5c62f8,Retrospective ledger row; outcome/scoring excluded from M3 source-backed live set.
D20260703_CHIEF_STATE,2026-07-03T00:00:00Z,1-3D,CHIEF_STATE_SUMMARY,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,E4 Current CHIEF state line,STATE: BTC REPAIR / RECOVERY-ATTEMPT PRESSURE; REBUY: LOCKED.,BTC_REPAIR_RECOVERY_ATTEMPT_PRESSURE_DIAGNOSTIC,WAIT,FLOW_UNRESOLVED,NOT_OFFICIAL_V0_2_ROW,WATCH,NOT_CONFIRMED,LOCKED,UNCONFIRMED,WAIT_PREPARE_WATCH,YES,,,NEXT_DOWN_CLOSE_LT_59400,MEDIUM,SOURCE_BACKED,LIVE,YES,6b48f448991a93b1851b,Source explicitly distinguishes diagnostic state from official row.
D20260703_CAPITAL_PHASE,2026-07-03T00:00:01Z,CURRENT,FRAMEWORK_ONBOARDING,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,E3 Current capital-lifecycle phase,"WAIT / PREPARE WATCH, not DEPLOY.",REPAIR_ATTEMPT,WATCH,FLOW_UNRESOLVED,,,NOT_CONFIRMED,LOCKED,NOT_DEPLOY,WAIT_PREPARE_WATCH,YES,,,,HIGH,SOURCE_BACKED,LIVE,YES,54c77837819fe063d4a1,Action-language row issued before later event outcomes.
D20260708_NEAR_CANDIDATE,2026-07-08T11:15:00Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_V4_20260708T111500Z,SENSOR historical candidate: NEAR_PRESENT.,,REVIEW,PULLBACK_EDGE,FRAMEWORK_PENDING,NEAR_PRESENT_CANDIDATE,,,,ESCALATE_TO_MAIN_FRAMEWORK,NO,,,,MEDIUM,SOURCE_BACKED_CANDIDATE,LIVE,YES,f1e203ececd888b17a29,Earliest source-backed candidate available; not canonical first without framework acceptance.
D20260708_PRESENT_1403,2026-07-08T14:03:00Z,INTRADAY_1-3D,DEEP_DATA_PING,DATA_PING thread,DEEP_DATA_PING_V4_20260708T140300Z,SENSOR_OBSERVED_STATE: PRESENT; reference_price: 61784.48.,MARKET_STRESS,REVIEW_NEEDED,PULLBACK_EDGE,FRAMEWORK_ACCEPTED_ANCHOR,PRESENT,,,,ESCALATE_TO_MAIN_FRAMEWORK,NO,61784.48,,,HIGH,SOURCE_BACKED_FRAMEWORK_ACCEPTED,LIVE,YES,52d4d784a7b9116495c4,Canonical PRESENT anchor supplied by main framework.
D20260708_PRESENT_1633,2026-07-08T16:33:00Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260708T163300Z,EDGE_STATE: PRESENT; ALERT_STATUS: STILL_ACTIVE.,MARKET_STRESS,STILL_ACTIVE,PULLBACK_EDGE,FRAMEWORK_ACCEPTED,PRESENT,,,,REVIEW,NO,,,,HIGH,SOURCE_BACKED,LIVE,YES,67f42a1b1de5caeaaebd,Later structured PRESENT run; not event start.
D20260708_RESOLVING_2006,2026-07-08T20:06:00Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260708T200600Z,EDGE_STATE: NEAR_PRESENT; ALERT_STATUS: RESOLVING.,STRESS_EASING,RESOLVING,PULLBACK_EDGE,FRAMEWORK_ACCEPTED,NEAR_PRESENT,,,,MONITOR,NO,,,,HIGH,SOURCE_BACKED,LIVE,YES,df684195ffebaa0fd5d7,Framework-supplied first resolving time.
D20260709_WATCH_0632,2026-07-09T06:32:00Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260709T063200Z,SENSOR_EDGE_CANDIDATE: WATCH; ALERT_STATUS: RESOLVING.,,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,,MONITOR,NO,,,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,3717f3315846dcc39940,Exact framework state at later horizons not inferred from this run.
D20260709_WATCH_ACCEPTED_1748,2026-07-09T17:48:00Z,INTRADAY_1-3D,MAIN_FRAMEWORK_FEEDBACK,Main thread handoff,DATA_PING_HYBRID_v0_5_1_20260709T174800Z,EDGE_STATE: WATCH; ALERT_STATUS: WATCH; SELL_A_BID_EDGE: WATCH.,WATCH_ZONE,WATCH,,FRAMEWORK_ACCEPTED,WATCH,NO_ROTATION,LOCKED,NO_ACTIVE_DEPLOYMENT,NO_ACTIVE_TRIM,YES,,,BTC_REJECTION_63300_OR_LOSS_61900; ETHBTC_LOSS_0275,HIGH,SOURCE_BACKED_FRAMEWORK_ACCEPTED,LIVE,YES,0632c8474c8450986202,"Accepted framework state, separate from sensor candidate."
D20260710_WATCH_0439,2026-07-10T04:39:00Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T043900Z,SENSOR_EDGE_CANDIDATE: WATCH; ALERT_STATUS: RESOLVING.,RECLAIM_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,,MONITOR,NO,,,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,8560b6dc13c418f2883d,
D20260710_WATCH_0945,2026-07-10T09:45:53Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T094553Z,EDGE_STATE: WATCH; ALERT_STATUS: RESOLVING; close confirmation pending.,RECLAIM_HOLD_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,UNKNOWN,MONITOR,NO,64463.99,1793.72,BTC_DAILY_CLOSE_63300_PENDING,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,781aef47469a2bdb9b52,
D20260710_WATCH_1159,2026-07-10T11:59:38Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T115938Z,SENSOR_EDGE_CANDIDATE: WATCH; ALERT_STATUS: RESOLVING.,RECLAIM_HOLD_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,UNKNOWN,MONITOR,NO,64425.18,1801.37,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,37c5104ab6aa14d7d1a2,Original calibration anchors were later superseded; state row retained.
D20260710_WATCH_1729,2026-07-10T17:29:31Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T172931Z,SENSOR_EDGE_CANDIDATE: WATCH; SENSOR_ALERT_CANDIDATE: RESOLVING.,RECLAIM_HOLD_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,UNKNOWN,MONITOR,NO,63995.12,1793.54,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,1239042eef4fe267abbe,Alert lineage field was corrected from WATCH to RESOLVING in a later correction log.
D20260710_WATCH_1942,2026-07-10T19:42:43Z,INTRADAY_1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T194243Z,SENSOR_EDGE_CANDIDATE: WATCH; SENSOR_ALERT_CANDIDATE: RESOLVING.,RECLAIM_HOLD_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,,,UNKNOWN,MONITOR,NO,63999.99,1796.90,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,aaf31d4c776591a2bc61,
D20260710_FIRST_CLOSE_2233,2026-07-10T22:33:53Z,1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T223353Z,BTC first daily close above 63.3K; sensor remains WATCH / RESOLVING.,POST_RECLAIM_FIRST_DAILY_CLOSE,RESOLVING,LONGER_BREADTH_UNCONFIRMED,RAW_CLOSE_CONFIRMED,WATCH,NOT_DETERMINED,,UNKNOWN,MONITOR,NO,64011.99_CLOSE,1794.37_CLOSE,,MEDIUM,SOURCE_BACKED_SENSOR,LIVE,YES,274b597882c108e56782,
D20260710_FRAMEWORK_ACCEPT_2334,2026-07-10T23:34:05Z,THROUGH_72H,MAIN_FRAMEWORK_FEEDBACK,Main thread handoff,Accepted run DATA_PING_HYBRID_v0_5_1_20260710T233405Z,FRAMEWORK_EDGE_STATE: WATCH; ALERT_STATUS: RESOLVING; EVENT_STATUS: OPEN_RESOLVING.,POST_RECLAIM_HOLD,RESOLVING,7D_BREADTH_WEAK,FRAMEWORK_ACCEPTED,WATCH,NO_ROTATION,LOCKED,UNKNOWN,NO_ACTIVE_TRIM,YES,64185.23,1795.46,REESCALATION_BEFORE_72H,HIGH,SOURCE_BACKED_FRAMEWORK_ACCEPTED,LIVE,YES,2043b03aa6272c84363b,Event close candidate only after 72H maturity if no re-escalation.
