row_id,status,layer,row_type,source_basis,source_path_or_memory_ref,timestamp_utc_or_chat,target_date,week_id,week_start,week_end,btc_forecast_low,btc_forecast_high,btc_stretch_high,btc_bear_invalidation,eth_forecast_low,eth_forecast_high,displayed_score,cycle_phase,regime_label,rotation_status,linked_cn_issue,scoreable_status,confidence,source_conflict,missing_fields,notes
MM_2026_04_14_DRAFT_HIGH_1552,DRAFT_OR_PRE_CORRECTION,MASTER_MONDAY_INTERNAL,DRAFT_FORECAST,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-155204,2026-04-13T15:52:04,2026-04-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,65000,72000,DATA_MISSING,DATA_MISSING,3050,3600,"Week1 ~91%; Week2 ~88-91%",Pre-Phase 1 -> Late Bottoming,Pre-Rotation / Late Bottoming,BTC stable -> ETH rotation -> large caps -> altseason,Week 2 / CN Edition,NOT_SCOREABLE_DRAFT,MED,APRIL_VERSION_SEQUENCE,"exact raw source; exact week_start; exact week_end; final actuals","Early/high draft. Preserve for version history only; do not score."
MM_2026_04_14_V3_CN_1553,CHAT_MEMORY_SOURCE_RECONSTRUCTION,MASTER_MONDAY_INTERNAL,V3_CN_FORECAST,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-155352,2026-04-13T15:53:52,2026-04-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,63000,69000,DATA_MISSING,DATA_MISSING,3000,3420,8.8/10,Late Bottoming / Pre-Rotation,Master Monday v3.0 + Cycle Navigator,Step 1 -> Step 2,CN Week 3 context,NOT_SCOREABLE_UNTIL_RAW_CONFIRMED,MED,APRIL_VERSION_SEQUENCE,"exact raw source; exact week; final actuals","Useful reconstruction row but later price correction tightened ETH. Do not merge with CN public Week 3."
MM_2026_04_14_PRICE_CORRECTION_1555,PRICE_VERIFICATION_CORRECTION,MASTER_MONDAY_INTERNAL,CORRECTION_EVENT,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-155501,2026-04-13T15:55:01,2026-04-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,3000,3380,DATA_MISSING,DATA_MISSING,Live price verification correction,DATA_MISSING,DATA_MISSING,NOT_SCOREABLE_CORRECTION_EVENT,MED-HIGH,NONE,"exact source; full correction note","BTC live approx 65,420 and ETH live approx 3,150. ETH 5-7d corrected to 3,000-3,380. This explains ETH 3420 vs 3380 conflict."
MM_2026_04_14_CORRECTED_VERIFIED_1603,CHAT_MEMORY_CORRECTED_ROW_AVAILABLE,MASTER_MONDAY_INTERNAL,CORRECTED_VERIFIED_FORECAST,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-160347,2026-04-13T16:03:47,2026-04-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,63000,68000,69000,61800,DATA_MISSING,DATA_MISSING,"Precision 91%; Short-Term 88%; Swing 83%; Macro 79%",Pre-Phase 1 / Late Bottoming,Late Bottoming / Pre-Rotation,DATA_MISSING,DATA_MISSING,PROVISIONAL_SCOREABLE_AFTER_RAW_OR_ACTUAL_RECONCILIATION,MED-HIGH,NONE,"original raw source; exact week_start; exact week_end; ETH weekly final range; final actuals","Best April Master Monday candidate after live-verification correction. BTC weekly 63K-68K with 69K stretch and bear invalidation under 61.8K."
MM_2026_04_14_FORMAT_UPGRADE_1728,FORMAT_UPGRADE,MASTER_MONDAY_INTERNAL,OUTPUT_FORMAT_UPDATE,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-172857,2026-04-13T17:28:57,2026-04-14,DATA_MISSING,DATA_MISSING,DATA_MISSING,63000,68000,DATA_MISSING,DATA_MISSING,3000,3350,DATA_MISSING,Pre-Phase 1 / Late Bottoming,BTC+ETH format upgrade,ETH/BTC weak -> neutral,DATA_MISSING,NOT_SCOREABLE_FORMAT_EVENT,MED,NONE,"exact source; final output","Explains internal ETH integration before public ETH tracking/scoring began later."
CN_WEEK3_PUBLIC_DRAFT_1910,PUBLIC_CN_DRAFT_ROW,CYCLE_NAVIGATOR_PUBLIC,DRAFT_PUBLIC_OUTPUT,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-04-13-191058,2026-04-13T19:10:58,2026-04-14,CN-WEEK-3,2026-04-14,DATA_MISSING,66000,73000,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,88%,DATA_MISSING,Early Bull likely developing within 4-8 weeks,Rotation pressure building,CN #3,SEE_CN_SOURCEBACKED_TABLE,MED,NONE,"exact public post; week_end; actuals","Public CN Week 3 draft. Keep separate from raw Master Monday corrected row."
CN_2026_05_04_DRAFT_DATE_CORRECTION,DATE_CORRECTION_AND_DRAFT,CYCLE_NAVIGATOR_PUBLIC,DRAFT_PUBLIC_OUTPUT,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-05-04-183313,2026-05-04T18:33:13,2026-05-04,CN-WEEK-6,2026-05-04,2026-05-11,75000,81000,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,"Previous #5 score 84%",DATA_MISSING,Draft CN #6 / Master Monday linked,DATA_MISSING,CN #6,NOT_SCOREABLE_DRAFT_CONFLICTS_WITH_SOURCEBACKED_CN6_EVAL,LOW-MED,CN6_SOURCE_RECONCILIATION_REQUIRED,"original CN #6 post; exact forecast; actuals","Draft says May 4-11 BTC 75K-81K, but later source-backed CN #6 evaluation says 79K-83.5K -> 78.5K-82.5K. Treat as draft/context only."
MM_2026_06_15_CN12_CALIBRATION,SCORING_METHOD_UPGRADE,MASTER_MONDAY_INTERNAL,CALIBRATION_RULE,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-06-15-065349,2026-06-15T06:53:49,2026-06-15,CN-WEEK-12,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,DATA_MISSING,CN12 scoring method upgrade,DATA_MISSING,CN #12,NOT_SCOREABLE_RULE_EVENT,HIGH,NONE,"source row; exact forecast rows","From CN #12 onward range scoring should use weekly Jaccard, daily containment, breach count, range width penalty and dumb vol-band benchmark. Do not overwrite historical public scores."
CN_2026_06_13_CN11_CONTAMINATION_CORRECTION,CONTAMINATION_CORRECTION,CYCLE_NAVIGATOR_PUBLIC,CORRECTION_EVENT,CHAT_MEMORY,master_monday_chat_memory_extraction_2026-07-07.md#2026-06-13-125631,2026-06-13T12:56:31,2026-06-13,CN-WEEK-11,DATA_MISSING,DATA_MISSING,61000,69000,DATA_MISSING,DATA_MISSING,1550,1900,DATA_MISSING,DATA_MISSING,CN #11 corrected internal row,DATA_MISSING,CN #11,NOT_SCOREABLE_CORRECTION_EVENT,HIGH,CN11_COPY_PASTE_CONTAMINATION,"original CN #11 source; actuals","Correct row BTC 61K-69K and ETH 1.55K-1.90K. The 79.5K-84K / 2.28K-2.48K row is CN #7 contamination and must not be used for CN #11."
MM_2026_W28_RAW_GITHUB,SOURCE_BACKED,MASTER_MONDAY_INTERNAL,RAW_MASTER_MONDAY,GITHUB_RAW_ARCHIVE,03_WEEKLY_OPERATIONS/master_monday/2026-07-06__master-monday-2026-w28__raw.md,2026-07-06,2026-07-06,2026-W28,DATA_MISSING,DATA_MISSING,60900,65400,DATA_MISSING,DATA_MISSING,1540,1760,67,BTC-led recovery attempt,Recovery range with upside test not clean breakout,Early Rotation Watch / not confirmed,DATA_MISSING,NOT_SCOREABLE_UNTIL_W28_ACTUALS,HIGH,NONE,"week_start; week_end; W28 actuals; actual run id","First Master Monday after GitHub archive implementation. Raw GitHub archive found."
