claim_id,issue_date,asset,category,claim,evaluation_window,scoring_eligibility,outcome_status,outcome,verified_actual,baseline,revision_lineage,notes
TDH_002,2021-11-12,BTC,PRICE_TARGET,BTC cycle-top target near 233K,2021-11-12/2022-12-31,ELIGIBLE,NOT_SUPPORTED,No later cycle top remotely approached 233K.,Post-claim BTC high 66311; low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_003,2021-11-12,BTC,TIMING_WINDOW,Possible BTC top around start of January 2022,2021-12-15/2022-01-31,ELIGIBLE,NOT_SUPPORTED,The actual cycle high had already occurred before the claim; January did not produce the projected new top.,Window high 52016; end close 38499.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_008,2021-12-06,BTC,PRICE_TARGET,Revised BTC top range 140-230K,2021-12-06/2022-12-31,ELIGIBLE,NOT_SUPPORTED,The retained high-target thesis failed.,Window high 52016.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_019,2022-01-23,BTC,PRICE_RANGE,Highest-probability bottom zone 29-35K,2022-01-23/2022-12-31,ELIGIBLE,NOT_SUPPORTED,Price passed through the zone and continued to a materially lower cycle low.,Window low 15504 on 2022-11-21.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_024,2022-02-06,BTC,PRICE_AND_TIME,BTC top 170-230K around September 2022,2022-08-01/2022-10-31,ELIGIBLE,NOT_SUPPORTED,Both price and timing failed.,Window high 25206; low 18192.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_030,2022-02-27,BTC,ROADMAP,Ukraine wick indicated correction low close or in,2022-02-27/2022-12-31,ELIGIBLE,NOT_SUPPORTED,The rally was temporary and BTC later made a much lower cycle low.,Post-claim high 48199; low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_036,2022-10-16,BTC,ROADMAP,Compressed conditions were tail end of 1.5-year correction before expansion,2022-10-16/2023-03-31,ELIGIBLE,SUPPORTED,The final low occurred about five weeks later and a durable 2023 expansion followed.,Low 15504 on 2022-11-21; end return 47.8%.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_037,2022-10-23,BTC,BOTTOM_SIGNAL,Current zone described as high-opportunity ending region,2022-10-23/2023-03-31,ELIGIBLE,SUPPORTED,"The final cycle low occurred within one month, followed by a large recovery.",Low 15504 on 2022-11-21; end return 45.5%.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_039,2022-11-13,BTC,EVENT_INTERPRETATION,FTX collapse could be final spring; large 2023 move thesis intact,2022-11-13/2023-12-31,ELIGIBLE,SUPPORTED,The final low occurred shortly after and BTC rose strongly through 2023.,Low 15504; 2023-end close 42288; return 159.0%.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_042,2022-12-27,BTC,BOTTOM_RANGE,15-20K defined as BTC bottom region,2022-11-01/2023-01-31,DESCRIPTIVE_POST_EVENT,SUPPORTED_POST_EVENT,"Range contained the cycle low, but the claim was issued after the low and is not early predictive evidence.",Low 15504 on 2022-11-21.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_043,2023-01-01,BTC,REVERSAL_GATE,Weekly close above 20W EMA near 19.3K within 1-3 weeks,2023-01-01/2023-01-22,ELIGIBLE,SUPPORTED,BTC reclaimed and closed above 19.3K inside the stated window.,Window high 23376; end close 22715.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_047,2025-06-01,BTC,PRICE_AND_TIME,BTC 160-180K in 2025,2025-06-01/2025-12-31,ELIGIBLE,NOT_SUPPORTED,2025 high remained far below 160K.,Window high 126296; year-end close 87498.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_053,2022-04-03,BTC,ROADMAP,Move through 46-47K was early evidence next major impulse had begun,2022-04-03/2022-12-31,ELIGIBLE,NOT_SUPPORTED,The breakout failed and BTC entered capitulation.,Post-claim return -64.4%; low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_055,2022-04-18,BTC,INVALIDATION,Daily close below ~35K should trigger reassessment,2022-04-18/2022-06-30,ELIGIBLE,SUPPORTED,The gate triggered before the largest capitulation leg and was decision-useful.,Window low 17630.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_062,2022-05-15,BTC,PRICE_RANGE,Equal paths: 25K low or final 21-24K flush,2022-05-15/2022-07-31,ELIGIBLE,PARTIAL,Direction was correct but the market overshot materially below both proposed low zones.,Window low 17630.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_067,2022-06-06,BTC,TIMING_WINDOW,Next impulse expected July-November 2022,2022-07-01/2022-11-30,ELIGIBLE,NOT_SUPPORTED,"The period produced further weakness and a new cycle low, not the projected impulse.",Window return -10.9%; low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_073,2022-06-26,BTC,ROADMAP,Base case expected a new ATH before April 2024 while <13.5K invalidated wave count,2022-06-26/2024-03-31,ELIGIBLE,NOT_SUPPORTED,"The invalidation did not trigger, yet the stated pre-April-2024 new-ATH outcome was not achieved before the deadline.",High through 2024-03-31 73836; low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_074,2022-07-03,BTC,PRICE_AND_TIME,80-120K intermediate impulse high in H1 2023,2023-01-01/2023-06-30,ELIGIBLE,NOT_SUPPORTED,Price was far below the projected range.,H1 2023 high 31444.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_075,2022-07-03,BTC,PRICE_AND_TIME,200-400K primary impulse high in H1 2025,2025-01-01/2025-06-30,ELIGIBLE,NOT_SUPPORTED,Price was far below the projected range.,H1 2025 high 112000.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_083,2022-08-15,BTC,PRICE_AND_TIME,80-120K by H1 2023,2023-01-01/2023-06-30,ELIGIBLE,NOT_SUPPORTED,Price was far below the projected range.,H1 2023 high 31444.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_084,2022-08-15,BTC,PRICE_AND_TIME,160-180K blow-off around December 2023,2023-11-01/2023-12-31,ELIGIBLE,NOT_SUPPORTED,Price was far below the projected range.,Window high 45000.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_088,2022-08-29,BTC,PRICE_PATH,Break below 18.5K materially increases probability of new lows,2022-08-29/2022-12-31,ELIGIBLE,SUPPORTED,BTC broke 18.5K and subsequently made a new cycle low.,Window low 15504.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_234,2023-06-04,BTC,TIMING_WINDOW,Higher-high engulfing candle expected within 1-2 months,2023-06-04/2023-08-04,ELIGIBLE,SUPPORTED,BTC made a higher high inside the two-month window.,Window high 31862 on 2023-07-13.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_236,2021-12-17,BTC,ROADMAP,Probable bottoming pattern; upward momentum expected soon,2021-12-17/2022-06-30,ELIGIBLE,NOT_SUPPORTED,The market continued into a deep bear leg.,Window return -56.8%; low 17630.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_241,2023-12-31,BTC,ROADMAP,Tether-dominance setup supported explosive market-wide upward move,2023-12-31/2024-03-31,ELIGIBLE,SUPPORTED,BTC advanced sharply during the following quarter.,Return 68.6%; high 73836.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TDH_248,2024-10-21,BTC,ROADMAP,Breakout-and-retest phase expected complete by end-2024,2024-10-21/2024-12-31,ELIGIBLE,SUPPORTED,BTC completed a major breakout and reached new highs by year-end.,Return 38.6%; high 108389.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD81_TIMING_001,2025-11-03,BTC_ETH,TIMING_WINDOW,Probable local-top window Q4 2025-Q1 2026,2025-11-03/2026-03-31,ELIGIBLE,SUPPORTED,A major local high occurred at the start of the window and a large correction followed.,BTC high 110749; low 60001.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD82_ETH_001,2025-11-17,ETH,PRICE_RANGE,ETH 4.0-4.2K relief high then 2.0-2.2K Q1 2026,2025-11-17/2026-03-31,ELIGIBLE,PARTIAL,The relief target missed; ETH later entered the 2.0-2.2K Q1 zone.,Window high 3444; Q1 close Mar31 2105; Q1 low 1755.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,TD84_PATH_001,
TD82_BTC_001,2025-11-17,BTC,ROADMAP,BTC 100-110K end-2025 then 85-95K Q1 2026,2025-11-17/2026-03-31,ELIGIBLE,PARTIAL,The end-2025 target missed; the Q1 path traded through 85-95K before falling much lower.,2025-end close 87498; Q1 high 97964; Q1 low 60001.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,TD83_BTC_001,
TD86_SCENARIO_001,2026-01-12,BTC,ROADMAP,Either correction complete or final expanded-flat leg toward ~60K,2026-01-12/2026-03-31,ELIGIBLE,SUPPORTED,The bearish branch materialized and BTC reached approximately 60K.,Window low 60001 on 2026-02-06.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD86_BTC_BULL_001,2026-01-12,BTC,PRICE_RANGE,Sustained hold above 95K confirms correction ended,2026-01-12/2026-03-31,ELIGIBLE,NOT_SUPPORTED,BTC briefly traded above 95K but failed to sustain it; the correction continued.,Window high 97964; low 60001.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD86_BTC_BEAR_001,2026-01-12,BTC,PRICE_PATH,Break below 87K confirms final leg toward ~60K,2026-01-12/2026-03-31,ELIGIBLE,SUPPORTED,The condition triggered and the stated destination was reached.,Window low 60001.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD89_BTC_001,2026-03-02,BTC,PRICE_RANGE,Final leg into 52-57K; possible sub-50K wick,2026-03-02/2026-07-02,ELIGIBLE,NEAR_MISS_NOT_SUPPORTED_STRICT,"BTC reached 57.7K, just above the upper bound, with no sub-50K wick.",Window low 57718 on 2026-07-01.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD89_ETH_001,2026-03-02,ETH,PRICE_RANGE,"ETH breakdown toward 1,400-1,500",2026-03-02/2026-06-14,ELIGIBLE,NEAR_MISS_NOT_SUPPORTED_STRICT,"ETH reached 1,507.60, narrowly above the range.",Window low 1507.60 on 2026-06-06.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD89_REVERSAL_001,2026-03-02,ETH,ROADMAP,Sharper V-shaped reversal after final leg,2026-06-01/2026-07-12,ELIGIBLE,SUPPORTED_DIRECTIONALLY,"After the 1,507.60 low, ETH reversed sharply the next day and later closed W28 at 1,812.28.",Jun6 low 1507.60; Jun7 high 1717.62; W28 verified close 1812.28.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,Uses canonical W28 verified range for the final close.
TD91_BTC_001,2026-03-29,BTC,PRICE_RANGE,BTC termination zone 51-57K,2026-03-29/2026-07-02,ELIGIBLE,NEAR_MISS_NOT_SUPPORTED_STRICT,BTC bottomed just above 57K and the target was revised upward before the final low.,Window low 57718.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,TD94_BTC_001,
TD91_ETH_001,2026-03-29,ETH,PRICE_RANGE,"ETH target 1,400-1,500",2026-03-29/2026-06-14,ELIGIBLE,NEAR_MISS_NOT_SUPPORTED_STRICT,"ETH low was 1,507.60; later revisions widened the range to 1,600.",Window low 1507.60.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,TD92_ETH_001,
TD92_TIMING_001,2026-04-12,BTC_ETH,TIMING_WINDOW,Breakdown expected around week of April 19,2026-04-19/2026-04-26,ELIGIBLE,NOT_SUPPORTED,BTC and ETH rose during the stated week; the major decline began later.,BTC return 6.6%; ETH return 4.7%.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,TD93_CONFIRM_001,
TD92_ETH_001,2026-04-12,ETH,PRICE_RANGE,"ETH widened target 1,400-1,600",2026-04-12/2026-06-14,ELIGIBLE,SUPPORTED,ETH entered the widened target range.,Window low 1507.60 on 2026-06-06.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD93_ETH_001,2026-04-27,ETH,PRICE_AND_TIME,"ETH 1,400-1,600 within next 4-6 weeks, then sharp V-recovery",2026-05-25/2026-06-08,ELIGIBLE,SUPPORTED,"ETH reached 1,507.60 on Jun6 and reversed sharply on Jun7.",Window low 1507.60; Jun7 close 1690.60.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD94_ETH_CONFIRM_001,2026-05-17,ETH,ROADMAP,ETH bear-flag breakdown declared confirmed,2026-05-17/2026-06-14,ELIGIBLE,SUPPORTED,ETH declined about 19% and reached the target zone.,Return -19.3%; low 1507.60.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD94_BTC_001,2026-05-17,BTC,PRICE_RANGE,BTC target revised upward to 57-63K,2026-05-17/2026-07-02,ELIGIBLE,SUPPORTED,BTC entered the revised range and printed 57.7K.,Window low 57718.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD94_ETH_001,2026-05-17,ETH,PRICE_RANGE,"ETH target 1,400-1,600",2026-05-17/2026-06-14,ELIGIBLE,SUPPORTED,ETH entered the range.,Window low 1507.60.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD95_BOTTOM_001_BTC,2026-05-31,BTC,PRICE_AND_TIME,BTC bottom 57-63K end-Jun/early-Jul,2026-06-25/2026-07-05,ELIGIBLE,SUPPORTED_PROVISIONAL_BOTTOM,"BTC reached 57.7K on Jul1 inside the zone and timing window, followed by a W28 recovery.",Window low 57718 on 2026-07-01; W28 close 63920.40.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,Bottom durability is not fully mature; price/timing hit is source-backed.
TD95_BOTTOM_001_ETH,2026-05-31,ETH,PRICE_AND_TIME,"ETH bottom 1,400-1,600 end-Jun/early-Jul",2026-06-25/2026-07-05,ELIGIBLE,SUPPORTED_PROVISIONAL_BOTTOM,"Canonical W27 actuals placed ETH low at 1,549.83 in the stated range and timing window, followed by W28 recovery.",W27 verified low 1549.83; W28 verified close 1812.28.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,Uses canonical verified weekly actuals; bottom durability not fully mature.
TD95_BTC_ROADMAP_001,2026-05-31,BTC,ROADMAP,94-98K Sep-Oct 2026; 115-125K year-end; 140-160K mid-2027,2026-09-01/2027-06-30,NOT_DUE,NOT_DUE,Future roadmap not scoreable as of 2026-07-13.,Outcome horizon open.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD95_ETH_ROADMAP_001,2026-05-31,ETH,ROADMAP,2.8-3.4K Sep-Oct 2026; 4.5-5K year-end; 6-6.5K mid-2027,2026-09-01/2027-06-30,NOT_DUE,NOT_DUE,Future roadmap not scoreable as of 2026-07-13.,Outcome horizon open.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD91_BITI_001,2026-03-29,BITI,TRADE,BITI target revision / trade report,2026-03-29/2026-06-30,SOURCE_BLOCKED,SOURCE_BLOCKED,Original Issue #90 entry/stop/target source is missing; later report cannot replace it.,No independently verified trade series in current package.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD91_ETHD_001,2026-03-29,ETHD,TRADE,ETHD re-entry with entry/stop/target,2026-03-29/2026-06-30,SOURCE_BLOCKED,SOURCE_BLOCKED,Original trade source is missing and later issues report repeated stop-outs.,No independently verified ETF series in current package.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
TD93_ETHU_001,2026-04-27,ETHU,TRADE,"ETHU 13 entry late May/early Jun, 50-60 target by mid-Aug",2026-05-25/2026-08-15,NOT_DUE_SOURCE_LIMITED,NOT_DUE,Target horizon remains open; original instrument series not in current package.,Outcome horizon open.,SIMPLE_PRICE_PATH_OR_NO_CHANGE,,
