decision_id,issued_timestamp,effective_horizon,source_type,source_file_or_thread,source_reference,exact_source_excerpt,market_state,urgency_state,warning_state,confirmation_state,pullback_state,rotation_state,rebuy_state,deployment_state,action_label,portfolio_language_used,btc_range_if_present,eth_range_if_present,invalidators,confidence,data_quality,retrospective_or_live,eligible_for_M3,duplicate_hash,source_status,notes
D20260421_ARCH_ROLE_001,2026-04-21T00:00:00Z,ONGOING,FRAMEWORK_GOVERNANCE,framework_archive_addendum_2026-04-21.pdf,Section 3-5,"DATA PING = state; CHIEF PING = action; SHADOW LAYER = timing/early detection. Shadow does not override decisions.",FRAMEWORK_ARCHITECTURE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REFERENCE_ONLY,NO,,,,NOT_STATED,PRIOR_THREAD_DERIVED_ARTIFACT_ONLY,RETROSPECTIVE_REFERENCE,NO,1828f29f1dcf851deaa4,INACCESSIBLE_PRIOR_THREAD,Underlying original source content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible.
D202605_FNP001,2026-05-07T23:59:59Z,8W,FNP,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,D2 FNP ledger / FNP-001,"Framework refused to call altseason; primary cost was alt-side opportunity cost, not BTC trim miss.",BTC_DOMINANT,LOW,ALT_FALSE_NEGATIVE_COST,DEFENSIVE_CONFIRMATION,NOT_STATED,NO_ROTATION,LOCKED,WAIT,NO_ALT_DEPLOY,YES,,,,MEDIUM,PRIOR_THREAD_DERIVED_ARTIFACT_ONLY,RETRO_INFERRED,NO,33ab10f1e8826c80b187,INACCESSIBLE_PRIOR_THREAD,Underlying original source content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible.
D20260703_CHIEF_STATE,2026-07-03T00:00:00Z,ONGOING,CHIEF_STATE,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,E4 Current CHIEF state line,"STATE: BTC Dominant / No Rotation; ACTION: WAIT / HOLD; REBUY: LOCKED.",BTC_DOMINANT,LOW,NOT_STATED,NOT_CONFIRMED,NOT_STATED,NO_ROTATION,LOCKED,WAIT,HOLD_WAIT,YES,,,,HIGH,PRIOR_THREAD_DERIVED_ARTIFACT_ONLY,LIVE,NO,9675f81e40f344d6c55e,INACCESSIBLE_PRIOR_THREAD,Underlying original source content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible.
D20260703_CAPITAL_PHASE,2026-07-03T00:00:01Z,ONGOING,REBUY_DEPLOY,Fable5_Expert_Onboarding_Batch1_ChatGPT_Answer_2026-07-03.txt,E3 Current capital-lifecycle phase,"WAIT / PREPARE. No DEPLOY. No rotation unlock.",BTC_DOMINANT,LOW,NOT_STATED,NOT_CONFIRMED,NOT_STATED,NO_ROTATION,LOCKED,WAIT,WAIT_PREPARE,YES,,,,HIGH,PRIOR_THREAD_DERIVED_ARTIFACT_ONLY,LIVE,NO,59d59a26c0976999fd8e,INACCESSIBLE_PRIOR_THREAD,Underlying original source content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible.
D20260708_NEAR_CANDIDATE,2026-07-08T11:15:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-08T11:15:00Z / DATA_PING_V4_20260708T111500Z,"sensor_state_candidate: NEAR_PRESENT; framework_state_at_review: NEAR_PRESENT; alert_status: WATCH_HIGH.",NEAR_PRESENT,WATCH_HIGH,24H_BREADTH_VERY_WEAK,FRAMEWORK_REVIEWED,WATCH,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,61892.97,1720.96,,MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,09ac09d39a16c4ae4693,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260708_PRESENT_1403,2026-07-08T14:03:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-08T14:03:00Z / DEEP_DATA_PING_V4_20260708T140300Z,"sensor_edge_candidate: PRESENT; framework_accepted_state: PRESENT; alert_status: TRIGGERED.",PULLBACK_EDGE_PRESENT,TRIGGERED,24H_BREADTH_VERY_WEAK,FRAMEWORK_ACCEPTED,PRESENT,NOT_CONFIRMED,LOCKED,UNKNOWN,STRESS_ALERT_ACCEPTED,YES,61784.48,1717.29,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,9e2ac7c125cd17101c64,OFFLINE_GITHUB_SNAPSHOT_BACKED,Tactical trim interpretation remained framework-owned. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260708_PRESENT_1633,2026-07-08T16:33:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-08T16:33:00Z / DATA_PING_HYBRID_v0_5_1_20260708T163300Z,"sensor_edge_candidate: PRESENT; framework_accepted_state: PRESENT; alert_status: STILL_ACTIVE.",PULLBACK_EDGE_PRESENT,STILL_ACTIVE,24H_BREADTH_6PCT,FRAMEWORK_ACCEPTED,PRESENT,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,61691.18,1713.06,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,0f68f4fcd8d33dfc3218,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260708_RESOLVING_2006,2026-07-08T20:06:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-08T20:06:00Z / DATA_PING_HYBRID_v0_5_1_20260708T200600Z,"sensor_edge_candidate: NEAR_PRESENT; framework_accepted_state: NEAR_PRESENT; alert_status: RESOLVING; downgrade_check: DOWNGRADE_TO_NEAR_PRESENT.",NEAR_PRESENT,RESOLVING,24H_BREADTH_STILL_WEAK,FRAMEWORK_ACCEPTED,RESOLVING,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,62150.36,1727.01,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,96b9236da5cf58261a68,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260709_WATCH_0632,2026-07-09T06:32:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-09T06:32:00Z / DATA_PING_HYBRID_v0_5_1_20260709T063200Z,"sensor_edge_candidate: WATCH; framework_accepted_state: WATCH; alert_status: RESOLVING; downgrade_check: DOWNGRADE_TO_WATCH.",WATCH,RESOLVING,7D_NOT_CONFIRMED,FRAMEWORK_ACCEPTED,WATCH,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,62737.95,1750.32,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,6f51cdb975c2f8dfab2b,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260709_WATCH_ACCEPTED_1748,2026-07-09T17:48:00Z,INTRADAY_1-3D,MAIN_FRAMEWORK_FEEDBACK,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-09T17:48:00Z / DATA_PING_HYBRID_v0_5_1_20260709T174800Z,"sensor_edge_candidate: WATCH; framework_accepted_state: WATCH; alert_status: WATCH.",WATCH,WATCH,7D_BREADTH_WEAK,FRAMEWORK_ACCEPTED,WATCH,NO_ROTATION,LOCKED,UNKNOWN,NO_ACTIVE_TRIM,YES,63164.19,1773.31,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,6850aa8ad1a23122dcc9,OFFLINE_GITHUB_SNAPSHOT_BACKED,Accepted framework interpretation retained WAIT/HOLD and rebuy locked. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
