id,date,catalyst,direction,tier,source,pre_structure,class_rationale,flows_pre5d_musd,ret_24h_pct,ret_72h_pct,ret_7d_pct,max_fav_pct,max_adv_pct,full_retrace_within_12_sessions,outcome_class,confidence,note
B01,2021-11-10,CPI 6.2% (30y high),HOT,B,TRAINING_DOCUMENTED,S3_LATE,"ATH euphoria, breadth strong but cycle-mature",,-2,-4,-8,1,-9,YES,LATE_CYCLE_FAILURE,MED,BTC topped that day
B02,2021-12-15,FOMC taper acceleration,HAWKISH,B,TRAINING_DOCUMENTED,S1,post-Dec-4-crash stabilization,,5,2,-2,6,-5,YES,SQUEEZE_ONLY,MED,relief day faded
B03,2022-01-26,FOMC hawkish pivot,HAWKISH,B,TRAINING_DOCUMENTED,S0,established downtrend,,2,-3,-5,3,-8,YES,FULL_RETRACE,MED,
B04,2022-05-11,CPI 8.3%,HOT,B,TRAINING_DOCUMENTED,S0,LUNA collapse week,,-5,-8,-12,1,-15,YES,DOWN_FOLLOW_THROUGH,MED,
B05,2022-06-10,CPI 8.6% shock,HOT,B,TRAINING_DOCUMENTED,S0,Celsius/3AC cascade primed,,-8,-18,-25,0,-30,YES,CATASTROPHIC_DOWN,HIGH,to 17.6K capitulation
B06,2022-07-13,CPI 9.1% PEAK,HOT,B,TRAINING_DOCUMENTED,S2,BTC based 3wk post-capitulation; ETH/BTC RISING on merge BEFORE event,,2,4,8,10,-3,NO,DURABLE_RALLY,HIGH,hot print BOUGHT; ETH-led multi-week rally
B07,2022-08-10,CPI 8.5% cool surprise,COOL,B,TRAINING_DOCUMENTED,S2,uptrend + ETH leading (merge),,3,4,5,7,-2,YES,PARTIAL_THEN_FAIL,MED,failed at 200dma day 4-5; overhead trend capped
B08,2022-09-13,CPI hot core shock,HOT,B,TRAINING_DOCUMENTED,S1_FADING,post-merge-runup rolling over,,-10,-11,-12,0,-14,YES,DOWN_FOLLOW_THROUGH,HIGH,
B09,2022-10-13,CPI hot + intraday reversal,HOT,B,TRAINING_DOCUMENTED,S1,"3-month compression, record-low vol",,4,3,1,8,-4,NO,CONTAINED_REVERSAL,MED,stayed in range until FTX
B10,2022-11-10,CPI 7.7% cool,COOL,B,TRAINING_DOCUMENTED,S0,FTX collapse same week,,10,8,3,12,-4,YES,SQUEEZE_ONLY,HIGH,cool print could NOT overcome broken structure
B11,2022-12-13,CPI cool,COOL,B,TRAINING_DOCUMENTED,S0,post-FTX flatline,,4,1,0,4,-2,YES,SQUEEZE_ONLY,MED,faded same day
B12,2023-01-12,CPI in-line/cool,COOL,B,TRAINING_DOCUMENTED,S2_S3,Jan rally: structure+breadth repaired FIRST (17K->19K reclaim),,5,7,10,12,-1,NO,DURABLE_EXPANSION,HIGH,
B13,2023-03-12,SVB/BTFP liquidity backstop,POS_LIQUIDITY_REGIME,B,TRAINING_DOCUMENTED,S0_S1,"USDC depeg chaos, price broken",,10,25,40,45,-2,NO,DURABLE_EXPANSION,HIGH,COUNTER-EXAMPLE: regime-scale catalyst overwhelmed weak structure
B14,2023-07-12,CPI 3.0% cool,COOL,B,TRAINING_DOCUMENTED,S1_NARROW,"post-BlackRock pop stalling, breadth narrow",,1,1,0,2,-3,YES,NO_EXPANSION,MED,slid into August
B15,2023-10-23,ETF-anticipation breakout,POS_FLOW_ANTICIPATION,B,TRAINING_DOCUMENTED,S1_BTC_ONLY,ETH/BTC falling; BTC-only base,,10,12,15,18,-2,NO,DURABLE_BTC_ONLY,HIGH,expansion WITHOUT transmission; no rotation
B16,2024-01-11,Spot-ETF launch,POS_FLOW_SHOCK,B,TRAINING_DOCUMENTED,S3_LATE,extended run-up into event,,-3,-5,-8,2,-15,YES,POSITIVE_CATALYST_FAILURE,HIGH,GBTC outflow composition dominated headline
B17,2024-03-12,CPI hot-ish,HOT,B,TRAINING_DOCUMENTED,S3_EARLY,"full bull: breadth strong, flows ~+1B/d",,2,1,0,3,-3,NO,ABSORBED,HIGH,structure buffered hot print; ATH next day
B18,2024-04-10,CPI hot,HOT,B,TRAINING_DOCUMENTED,S1_FADING,"post-ATH, flows fading",,-2,-4,-6,0,-9,YES,DOWN_FOLLOW_THROUGH,MED,halving/Iran overlay
B19,2024-05-15,CPI cool,COOL,B,TRAINING_DOCUMENTED,S2,flows turned positive May 3+ BEFORE event; price reclaiming,,7,9,12,13,-1,NO,DURABLE_EXPANSION,HIGH,to 71.4K
B20,2024-08-05,Yen-carry unwind,NEG_LIQUIDITY_SHOCK,B,TRAINING_DOCUMENTED,S1,"range-bound, overhangs known",,-12,-3,-3,2,-15,NO,NEG_SHOCK_ABSORBED,HIGH,V-recovery within 72h; load-bearing floor
B21,2024-09-18,FOMC 50bp cut,POS_MACRO,B,TRAINING_DOCUMENTED,S1,6-month range; ETH/BTC falling,,2,4,5,6,-2,NO,SLOW_DURABLE_BTC_ONLY,HIGH,Oct expansion; rotation never came
B22,2024-11-06,US election,POS_REGIME,B,TRAINING_DOCUMENTED,S2_BTC,price broke range highs + flows strong BEFORE event,,9,10,12,14,-1,NO,DURABLE_EXPANSION,HIGH,transmission followed WEEKS later
B23,2024-12-18,FOMC hawkish cut,HAWKISH,B,TRAINING_DOCUMENTED,S3_LATE,"euphoria, hot funding",,-5,-7,-8,0,-15,YES,LATE_CYCLE_FAILURE,HIGH,mirror of B01
B24,2025-02-12,CPI hot,HOT,B,TRAINING_DOCUMENTED,S1,post-DeepSeek chop,,-2,-2,-1,2,-5,YES,DOWN_FT_DELAYED,MED,late-Feb tariff crash followed
B25,2025-04-09,Tariff-pause announcement,POS_POLICY_REGIME,B,TRAINING_DOCUMENTED,S0,"crash low, structure broken",,8,10,12,15,-2,NO,DURABLE_EXPANSION,HIGH,COUNTER-EXAMPLE #2: regime-scale policy catalyst
A01,2026-02-11,CPI (inferred date),HOT,A,FMP_OHLC+FARSIDE,S1,post-Feb-5 crash stabilization; ETH/BTC declining(qual); flows neg,-296.5,-1.22,4.12,-0.9,4.57,-2.92,PARTIAL,CONTAINED_CHOP,MED,reported reaction -5.77% (Pillows) = intraday
A02,2026-03-10,CPI (inferred date),COOL,A,FMP_OHLC+FARSIDE,S2_FLOW_ONLY,"flows turned positive pre-event (+277M/5d) BUT ETH/BTC declining, breadth n/a",277.4,0.35,1.41,5.68,8.66,-1.12,YES(day12-13),EXTENDED_POP_FULL_RETRACE,HIGH,7d LOOKED durable; failed day 8-13 -> horizon lesson
A03,2026-04-14,CPI (inferred date),HOT_MILD,A,FMP_OHLC+FARSIDE,S1_S2_PRICE,uptrend +5%/7d; flows mixed,70.8,0.89,3.94,2.92,5.68,-0.54,NO,ABSORBED_CHOP,LOW,event date/direction uncertain; reported -4.00% not reproduced
A04,2026-05-12,CPI (inferred date),HOT,A,FMP_OHLC+FARSIDE,S1_BTC_ONLY,BTC 80K recovery leg; ETH/BTC multi-year-low declining; flows mixed,126.5,-1.49,-1.77,-4.62,0.5,-4.74,YES,CATASTROPHIC_EXTENDED,HIGH,-26.6% by session ~17 (to Jun 5 low)
A05,2026-06-10,CPI (inferred date),COOL,A,FMP_OHLC+FARSIDE,S0_S1,post-crash basing; ETH/BTC at lows; flows -888M/5d,-887.9,3.44,4.85,4.88,9.46,-1.2,YES(day10-11),SQUEEZE_POP_FULL_RETRACE,HIGH,PRIMARY ANALOGUE for Jul-14 holdout: cool CPI on non-transmitting structure
A06,2026-06-25,ETF-outflow shock -691.7M,NEG_FLOW_SHOCK,A,FMP_OHLC+FARSIDE,S0,floor break in progress,-1500,0.5,-0.38,2.98,3.0,-3.33,NO,CAPITULATION_FLUSH_TO_BASE,HIGH,marked the cycle low (seller exhaustion)
