run_id,design_id,component,proposal,inputs,output,scoring,expected_benefit,failure_mode,overfit_risk,data_needed,verdict,notes
RMR_V0_1_20260708,RMR01,architecture,A PURE_BASELINE_DISCIPLINE: publicer DUMB_1.5+DUMB_2.0 som statistiske baand; kommentar separat,anker-close+ATR14 pre-week,to baand + kommentar,fuld M5-blok (Winkler a10 primaer),baseline-paritet garanteret; placement-fejl elimineret,ingen skill-akkumulering; opgiver evt. flush-styrke,ingen,har alt,KEEP (interim-gulv),kan indfoeres straks uden skill-paastand
RMR_V0_1_20260708,RMR02,architecture,"B ATR_PLUS_HUMAN_ADJUSTMENT: baseline + bounded center-skift (<=0.5xATR, aldrig smallere end 1.5xATR) + skriftlig pre-week-rationale",A + menneskeligt skift,officiel range = baseline+skift; skift logges,fuld blok + adjustment_alpha (CN-B15 Winkler),skill bliver falsificerbar ugentlig delta,anchoring-bias via skiftet; bound skal fryses foer brug,"lav hvis bound governance-bindes (strukturelt valg, ikke M5-fit)",har alt (bound-binding mangler),NEEDS_FORWARD_ROWS (primaer kandidat),NEEDS_GOVERNANCE_BINDING paa bound
RMR_V0_1_20260708,RMR03,architecture,"C REGIME_ADAPTIVE_WIDTH: bredde pr. vol-regime, center foruddefineret",vol-regime + anker,regime-baand,fuld blok,matcher calm/flush-moenster,bredde-mapping fra samme evidens-familie = graenser til retune,MODERAT-HOEJ,har alt,SHADOW_ONLY,maa ikke publiceres officielt
RMR_V0_1_20260708,RMR04,architecture,D TRANSITION_REANCHOR_SHADOW: TRIAD/breach-trigger logger skygge-range; officiel uroert,TRIAD-state + breach-taelling,skygge-range m. timestamp,"skygge-Winkler vs officiel, separat bucket",adresserer dokumenteret fejlmode uden offentlig risiko,trigger-shopping hvis ikke frosset,lav (eksisterende signaler),har alt,SHADOW_ONLY,kill hvis >=8 instanser scorer daarligere end never-move
RMR_V0_1_20260708,RMR05,architecture,"E TWO_RANGE_OUTPUT: kerne-range + SCENARIO-baand, begge scoret",A/B + scenario,to labels,fuld blok x2,bevarer kommunikationsvaerdi,offentlig forvirring; narrativ-cherrypick,lav,har alt,NEEDS_FORWARD_ROWS,label-disciplin obligatorisk
RMR_V0_1_20260708,RMR06,architecture,F NO_RANGE_UNTIL_REANCHOR: LOW_CONFIDENCE-tilstand i transitions; scores separat,state-maskine,tagget range,"fuld blok, separat bucket",aerlighed i praecis de uger CN fejlede,opt-out-gaming,lav,har alt,KEEP (som tilstand),frekvens-cap 2/8 uger
RMR_V0_1_20260708,RMR07,reanchoring,5-state maskine: NORMAL / TRANSITION_WATCH / REANCHOR_SHADOW_ACTIVE / OFFICIAL_REANCHOR_ALLOWED(uopnaaelig v0.1) / RANGE_LOW_CONFIDENCE,TRIAD + breach-dage (ingen nye taerskler),state + skygge-log,skygge vs never-move over >=8 instanser,transition-fejlmode instrumenteret,state-flapren; shopping,lav,har alt,SHADOW_ONLY,officiel re-anchor aabnes kun af governance efter forward-validering
RMR_V0_1_20260708,RMR08,scoring,"5 adskilte scorelinjer (Phase/Range/Timing/Rotation/Warning); range-blok m. Winkler a10+a20, Jaccard, containment, breach, bias, width-ratio, CN vs B15/B20/PW; verified actuals only; blended score pensioneres",ledger + verified OHLC,scoreblok pr. post,Winkler a10 primaer,fase-skill kan aldrig maskere range-tab,metrik-overload offentligt,ingen,har alt,"KEEP (metode/layout, ingen skill-paastand)",fix-nu-kategori
RMR_V0_1_20260708,RMR09,publication_template,7-bloks X-template (Phase/Range/RangeScore-vs-baselines/PullbackWeather/Rotation/Shadow/Invalidators),scoring-blok,publicerbar template,—,laesbar aerlighed; falsifikatorer synlige,laengde paa X,ingen,har alt,KEEP,se rapport sektion 8
RMR_V0_1_20260708,RMR10,kill_criteria,"K1-K8 inkl. 8-ugers median-Winkler-revert, 2-total-miss-revert, selv-actual-annullering, blended-score-flag, overwide-flag, LOW_CONF-cap, skygge-kill",forward ledger,automatiske flags/reverts,—,processen kan doe aerligt,for stramme kill kan draebe god variant tidligt,lav,forward rows,KEEP (design),8 scorede uger = minimumsvindue
